Event	ID	Name			Wwise Object Path	Notes
	127291008	PlaySplats			\Default Work Unit\Ambiance\PlaySplats	
	148397444	PlayOutOfAmmo			\Default Work Unit\GameplayCombat\Player\PlayOutOfAmmo	
	180348757	PlayDeathStart			\Default Work Unit\GameplayCombat\Player\PlayerDie\PlayDeathStart	
	182906760	PlayExplosion			\Default Work Unit\GameplayCombat\Player\PlayerDie\PlayExplosion	
	417627684	PlayMusic			\Default Work Unit\Music\PlayMusic	
	533922744	PlayPlasmaCutter			\Default Work Unit\GameplayCombat\Player\Guns\PlayPlasmaCutter	
	785535932	PlayReload			\Default Work Unit\GameplayCombat\Player\PlayReload	
	794424115	EnemyDie			\Default Work Unit\GameplayCombat\Enemies\EnemyDie	
	1053502162	PlayGoldenGun			\Default Work Unit\GameplayCombat\Player\Guns\PlayGoldenGun	
	1123853166	PlayMenuOpen			\Default Work Unit\Menu\PlayMenuOpen	
	1243877330	PlayOrbGet			\Default Work Unit\Menu\PlayOrbGet	
	1261806239	PlayNailgun			\Default Work Unit\GameplayCombat\Player\Guns\PlayNailgun	
	1290774814	PlayDeathBoom			\Default Work Unit\GameplayCombat\Player\PlayerDie\PlayDeathBoom	
	1489638472	PlayShoot			\Default Work Unit\GameplayCombat\Player\Guns\PlayShoot	
	1495182018	WaterAmbiance			\Default Work Unit\Ambiance\WaterAmbiance	
	1602582936	PlayDualPistol			\Default Work Unit\GameplayCombat\Player\Guns\PlayDualPistol	
	1631291978	PlayRevolver			\Default Work Unit\GameplayCombat\Player\Guns\PlayRevolver	
	1654325552	PlayMinigun			\Default Work Unit\GameplayCombat\Player\Guns\PlayMinigun	
	1703458158	PlayAssaultRifle			\Default Work Unit\GameplayCombat\Player\Guns\PlayAssaultRifle	
	1760503306	PlayWipe			\Default Work Unit\GameplayCombat\Player\PlayWipe	
	1780443284	PlayOrbCollect			\Default Work Unit\GameplayCombat\Items\PlayOrbCollect	
	2052572755	PlayTestTone			\Default Work Unit\Utilities\PlayTestTone	
	2367080787	RainAmbiance			\Default Work Unit\Ambiance\RainAmbiance	
	2843279659	PlayRailgun			\Default Work Unit\GameplayCombat\Player\Guns\PlayRailgun	
	3035439363	PlayTorch			\Default Work Unit\GameplayCombat\Player\Guns\PlayTorch	
	3086540886	StopAll			\Default Work Unit\Utilities\StopAll	
	3210216424	PlayTakehowbigyourthinkthebulletisandlikedoubleit			\Default Work Unit\GameplayCombat\Player\Guns\PlayTakehowbigyourthinkthebulletisandlikedoubleit	
	3306053400	PlayButtonPress			\Default Work Unit\Menu\PlayButtonPress	
	3449696796	PlayAutoShotgun			\Default Work Unit\GameplayCombat\Player\Guns\PlayAutoShotgun	
	3530697091	PlayLightningRifle			\Default Work Unit\GameplayCombat\Player\Guns\PlayLightningRifle	
	3634591065	PlayTrenchgun			\Default Work Unit\GameplayCombat\Player\Guns\PlayTrenchgun	
	3837843530	PlayMenuClose			\Default Work Unit\Menu\PlayMenuClose	
	3903208307	PlayThunder			\Default Work Unit\Ambiance\PlayThunder	
	3928925152	PlaySpawn			\Default Work Unit\GameplayCombat\Player\PlaySpawn	
	4178281434	PlayDoubleBarrelShotgun			\Default Work Unit\GameplayCombat\Player\Guns\PlayDoubleBarrelShotgun	
	4187848682	PlaySniper			\Default Work Unit\GameplayCombat\Player\Guns\PlaySniper	

State Group	ID	Name			Wwise Object Path	Notes
	1049845630	PathStatus			\Default Work Unit\PathStatus	

State	ID	Name	State Group			Notes
	748895195	None	PathStatus			
	1897154419	OnPath	PathStatus			
	2351524905	OffPath	PathStatus			

Custom State	ID	Name	State Group	Owner		Notes
	73055628	OnPath	PathStatus	\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\WorldAmbiance\Lake\Amb_Lake Waves_2024-05-13 20_55_17		
	263445328	OffPath	PathStatus	\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\WorldAmbiance\Lake\Amb_Pathway Waves_2024-05-13 20_55_17		
	681484125	OnPath	PathStatus	\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\WorldAmbiance\Lake\Amb_Pathway Waves_2024-05-13 20_55_17		

Game Parameter	ID	Name			Wwise Object Path	Notes
	2647461264	HighPassFilter			\Default Work Unit\HighPassFilter	
	3439749059	SplatAmount			\Default Work Unit\SplatAmount	
	4231214299	RainAmount			\Default Work Unit\RainAmount	

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	523538079	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Guns\NailGun\NailgunSeq\Silence\Wwise Silence	
	556106805	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Guns\Minigun\Minigun\Shell&Silence\Silence\Wwise Silence	
	774304852	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Guns\NailGun\NailgunSeq\Nailgun\NailgunWhirl\Silence\Wwise Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	14718603	TestTone	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\TestTone_9E7EF7AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\TestTone		34256
	20665016	DeathBuildUp	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\DeathBuildUp_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Die\DeathBuildUp		1253016
	22615286	Explosion_5	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\Explosion_5_B1CBE153.wem		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Die\Explosions\Explosion_5		320788
	68460367	Fire_3	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\Fire_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Guns\DEMOSOUNDS\Fire\Fire_3		294660
	89751610	ShotgunShot	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\ShotgunShot_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Guns\Shotgun\ShotgunShot		357720
	101129085	Wipe	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\Wipe_Full_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Damage\Wipe		1092804
	105067499	Reload	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\Reload_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Guns\GunOOAandReload\Reload		188668
	125489747	EnemyDie0	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\EnemyDie0_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Enemies\Dead\EnemyDie0		202704
	143333020	Base	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\PistolBase_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Guns\Pistol\Pistol\Base		357212
	178169467	DeathBlip	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\DeathBlip_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Die\DeathBlip		1948056
	181209012	Amb_Lake Waves_2024-05-13 20_55_17	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\Amb_Lake Waves_2024-05-13 20_55_17_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\WorldAmbiance\Lake\Amb_Lake Waves_2024-05-13 20_55_17		34736252
	232485856	Splats_03	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\Splats_F72F1153.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\Splats\Splats_03		17652
	234192517	Hum	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\Hum_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Guns\DEMOSOUNDS\Hum		44564
	246812119	Explosion_2	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\Explosion_2_AEE514D4.wem		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Die\Explosions\Explosion_2		316552
	305114128	Minigun_2	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\Minigun_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Guns\Minigun\Minigun\Minigun_2		219748
	316136356	DeathBoom	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\DeathBoom_3F3B76C3.wem		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Die\DeathBoom		744372
	328935521	Amb_Mid Rain tbh_2024-05-13 21_51_30	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\Amb_Mid Rain tbh_2024-05-13 21_51_30_EB10802F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\WorldAmbiance\Rain\Amb_Mid Rain tbh_2024-05-13 21_51_30		19837108
	329432743	PistolRicotchet_1	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\PistolRicotchet_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GameplayCombat\Player\Guns\Pistol\Pistol\Ricoctchet\PistolRicotchet_1		355472
	396661611	Splats_04	Y:\Documents\GitHub\LochShock\Bullet Hell_WwiseProject\.cache\Windows\SFX\Splats_99B27512.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\Splats\Splats_04		35944
